name,address
The Restaurant at The Durham Hotel,315 E. Chapel Hill St
The Roof at The Durham Hotel,315 E. Chapel Hill St
The Studio at Unscripted Hotel,202 N Corcoran St.
The Tipsy Bull,800 Taylor St. Suite 9-152
The Velvet Hippo Bar & Lounge,119 Orange St. 3rd Floor
The Waiting Room,300 Blackwell St. Suite 100
The Wine Feed,307 S Roxboro St.
Timber Pizza,501 Washington St. Suite H
Toast,345 W. Main St
Tobacco Road Sports Cafe,280 S Mangum St.
Torero's Mexican Restaurant,604 Fernway Ave.
Two Roosters,800 Taylor St
Vessel Coffee House & Art Cafe,506 N Mangum St. Suite 102
Viceroy,335 W. Main St
Vida Dulce,618 Ramseur St. Suite 101
Weldon Mills Distillery,300 E Main St. Suite 1
West End Billiards,601 W Main St. Suite A
West End Social,601 W Main St. Suite A
WXYZ Bar at the Aloft Hotel,345 Blackwell St.
Yaya Tea,807 East Main St. Suite 2-150
Yonderlust Cafe,109 N Gregson St.
Zweli's,905 W Main St. Suite 19C
Zweli's Ekhaya,406 Blackwell St.
